Year;Attribut; Value ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 136 961 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 1 154 266 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 1 171 495 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 1 189 349 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 1 206 653 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 1 222 960 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 239 597 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 255 619 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 271 828 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 288 287 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 304 789 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 321 880 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 339 870 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 358 768 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 378 251 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 397 666 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 417 136 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 437 430 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 457 172 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 477 144 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 497 554 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 517 814 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 537 720 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 556 897 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 576 036 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 81 536 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 81 728 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 81 932 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 82 104 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 82 419 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 82 971 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 83 721 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 84 595 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 85 525 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 86 633 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 87 705 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 88 744 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 89 614 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 90 327 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 90 862 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 91 411 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 91 867 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 92 173 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 92 272 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 92 311 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 92 350 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 92 432 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 92 463 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 92 462 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 92 559 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 92 654 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 92 785 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 92 936 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 889 079 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 907 841 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 925 244 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 941 581 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 956 176 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 969 545 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 980 787 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 990 339 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 998 721 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 1 008 424 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 1 020 930 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 1 036 770 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 1 055 307 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 1 075 970 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 1 095 960 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 1 113 582 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 1 128 515 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 1 140 440 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 1 150 345 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 160 700 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 172 022 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 184 478 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 196 392 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 207 026 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 217 966 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 227 541 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 235 981 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 244 064 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 754 120 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 771 210 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 786 757 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 801 280 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 814 120 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 825 825 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 835 873 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 844 957 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 853 011 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 862 312 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 873 873 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 888 193 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 904 722 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 923 082 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 940 615 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 955 722 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 968 909 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 980 262 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 990 289 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 1 000 757 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 011 661 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 023 290 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 034 461 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 044 376 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 054 482 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 063 070 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 070 500 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 077 458 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 299 847 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 301 999 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 303 742 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 305 177 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 306 317 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 307 260 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 307 523 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 306 311 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 304 696 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 303 026 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 302 149 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 302 246 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 302 624 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 303 279 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 304 084 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 305 109 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 305 992 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 306 504 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 306 892 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 307 281 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 308 039 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 309 259 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 310 847 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 313 008 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 315 328 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 318 084 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 320 676 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 322 678 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 162 234 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 163 547 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 164 766 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 166 050 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 167 690 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 169 601 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 172 153 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 175 009 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 178 140 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 181 581 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 185 134 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 189 168 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 193 333 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 197 557 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 202 138 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 206 779 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 211 168 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 215 531 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 219 719 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 224 038 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 228 293 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 233 181 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 237 849 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 242 558 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 247 157 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 252 144 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 257 324 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 262 606 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 6 006 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 6 138 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 6 274 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 6 410 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 6 551 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 6 692 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 6 838 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 6 987 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 7 143 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 7 299 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 7 457 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 7 622 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 7 786 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 7 953 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 8 122 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 8 285 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 8 435 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 8 575 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 8 709 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 8 850 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 8 994 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 9 153 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 9 316 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 9 483 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 9 644 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 9 810 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 9 984 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 10 157 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 19 447 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 20 315 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 21 017 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 21 640 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 22 242 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 22 851 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 23 540 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 24 210 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 24 913 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 25 701 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 26 612 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 27 739 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 29 167 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 31 226 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 34 160 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 37 277 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 40 194 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 42 938 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 46 104 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 49 672 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 52 875 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 54 921 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 56 255 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 57 763 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 59 178 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 60 578 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 61 498 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 62 429 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 3 280 789 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 3 350 777 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 3 424 432 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 3 504 258 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 3 584 819 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 3 667 139 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 3 758 142 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 3 856 394 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 3 964 354 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 4 072 206 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 4 172 646 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 4 268 642 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 4 365 709 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 4 469 504 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 4 571 727 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 4 678 592 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 4 788 022 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 4 898 260 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 5 010 012 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 5 126 927 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 5 249 999 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 5 372 966 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 5 494 346 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 5 608 679 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 5 721 515 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 5 826 958 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 5 928 883 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 6 026 377 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 6 905 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 6 919 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 6 932 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 6 952 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 6 975 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 7 006 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 7 043 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 7 090 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 7 142 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 7 206 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 7 280 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 7 364 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 7 464 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 7 570 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 7 681 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 7 800 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 7 923 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 8 058 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 8 193 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 8 333 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 8 471 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 8 607 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 8 738 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 8 872 ;;;;;;;;;
